Supplier ID;Product / product type;Description;Supplier;Adress_1;Adress_2;BTW number;Contact Sales;Tel. Sales;E-mail Sales;Contact Engin.;Tel. Engin.;E-mail Engineering;Website;Tel. Info;E-Mail info;Remarks;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPPlier_XXX;-;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_001;Door accessories;Door accessories - Locks, hinges & other;AB-Matic (Hi-Motion);Regielaan 4150;B-3800 Sint-Truiden;BE 0472 722 768;Marco Kaczmarowski;+32 472 11 47 24;marco.kaczmarowski@ab-matic.be;;;;www.ab-matic.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_002;Packaging;Packaging;Abriso-Jiffy;Gijzelbrechtegemstraat 8-10;B-8570 Anzegem;BE 0426 860 673;;+32 56 69 49 29;s.vandeputte@abriso.com;;;;www.abriso.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_003;Steel;Steel - other;Allround hekwerk;Schoterlandseweg 107;NL-8413 NJ oudehorne;NL 0014 52 855 B75;Davis;+31 06 52 53 98 51;info@allroundhekwerk.nl;;;;www.allroundhekwerk.nl;;info@allroundhekwerk.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_004;Welding;Welding - Gas bottles;Antwerp Gas Depot;Melkerijstraat 65;B-2900 Schoten;BE 0461 742 170;;+32 3 324 33 76;info@antwerpgasdepot.be;;;;;;info@gasdepot.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_005;Stickers;stickers, 2D designs;Atoz beletteringen bvba;Frans Bresseleersstraat 7;B-2180 Antwerpen;BE 0871 113 151;Kurt Thomaes;+32 3 293 40 20;kurt.thomaes@atoz.be;;;;www.atoz.be;;info@atoz.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_006;Metal processing;Metal processing - 2D / 3D laser & bending;Bacovo;Lerenveld 2/A;B-2547 Lint;BE 0415 282 734;Paul Voorspoels;+32 475 26 59 51;paul@bacovo.be;;;;www.bacovo.be;+32 3 488 00 88;info@bacovo.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_007;Steel;Steel - other;Betafence;;;;;;;;;;www.betafence.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_008;Fasteners;Fasteners - Steel;Borgh;Hoge Mauw 510;B-2370 Arendonk;BE 0420 762 145;Stijn Mertens;+32 494 41 88 83;s.mertens@borgh.net;;;;www.borgh.net;;;Ankerbouten e.d.;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_009;Polycarbonate;Polycarbonate - curved;Brightlight;Nijverheidsstraat 55;B-2570 Duffel;BE 0417 416 338;Stefan Camerlynck;+32 3 889 44 55;Stefan@brightlight.be;Maarten Krol;;Maarten@brightlight.be;www.brightlight.be;;;Gebogen lichtstraten;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_010;Metal processing;Metal processing - Bending Tubes & pipes;Brouwers Algemene Buigwerken;;;;Edsko Brouwers;+32 498 57 49 99;brouwers@buigwerken.be;;;;www.buigwerken.be;;;Potentieel vervanging dakprofielen Brightlight?;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_011;Wood;Wood - planks & beams;Byttebier-hout;Hagenbroeksesteenweg 173;B-2500 Lier;BE 0430 335 055;Zeno Byttebier;+32 3 488 00 16;verkoop@byttebier-hout.be;;;;www.byttebier-hout.be;;;Ook wel Luc Cambré - +32 495 23 51 05;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_012;Surface treatment;Surface treatment - other;C-B-S;Starrenhoflaan 26 bus 3;B-2950 Kapellen;BE 0461 915 285;Wim Vander Veken;+32 496 60 69 10;info@c-b-s.be;;;;www.c-b-s.be;+32 3 458 18 81;info@c-b-s.be;Spuitbussen verf op maat (RAL-kleuren);;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_013;Electronics;Electronics - Base materials;Cebeo;Kwade Weide 16;B-2920 Kalmthout;BE 0405 318 953;;+32 3 328 04 60;kalmthout@cebeo.be;;;;www.cebeo.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_014;Tools;Tools - Drilling;Datech;;;;Jos Damen;+31 765 20 47 40;;;;;www.datech-nederland.eu;;info@datech-nederland.eu;Tap M20x2 LH (o.a.) -> Jos Damen naar Van Giessel slijptechniek;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_015;Alu;Alu - Profiles;Dejond;Terbekehofdreef 55-59;B-2610 Wilrijk;BE 0404 943 722;Bruno Gielis;+32 3 820 35 39;Bruno.gielis@dejond.com;;;;www.dejond.com;+32 3 820 35 11 ;Metals@dejond.com ;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_016;Greenroof;Greenroof - Cassettes;Dirk Maris nv;Roobeek 42;B-2370 Arendonk;BE 0859 986 459;Nele Maris;+32 14 67 73 56;info@graszodenservice.be;;;;www.graszodenservice.be;;info@graszodenservice.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_017;Surface treatment;Surface treatment - Coating;Duracoat;Nijverheidsstraat 34;B-2620 Hemiksem;BE 0406 419 607;Raf Van Os;+32 3 870 40 20;info@duracoat.be;;;;www.vanos-duracoat.be;;info@vanos-duracoat.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_018;Metal processing;Metal processing - 2D / 3D laser & bending;E&M Metalworks;Lochtemanweg 20;B-3580 Beringen;BE 0737 742 507;Tom Tutenel;+32 472 95 26 34;tom.tutenel@emmetalworks.be;Steve De Neef;+32 11 45 38 37;Steve@emmetalworks.be;www.emmetalworks.be;;info@emmetalworks.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_019;Fasteners;Fasteners - Steel;Elcee Belux;Tieblokkenlaan 8;B-2300 Turnhout;BE 0598 836 923;Birgit Bauwens;+32 14 44 37 82;bbauwens@elcee.be;;;;www.elcee.be;+32 14 44 37 80;info@elcee.be;Bouten, moeren, rondellen, … Ook contact via Kelly Slegers;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_020;Fasteners;Fasteners - Plastic;Emergo;;;;;;;;;;www.emergo.be;;info@emergo.be;Kunststof doppen;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_021;Fasteners;Fasteners - Steel;Fabory;Noorderlaan 83;B-2030 Antwerpen;BE 0430 092 258;;+32 3 545 90 80;servicebe@fabory.com;;;;www.fabory.com/nl_BE;+32 3 545 90 80;;Bouten, moeren, rondellen, …;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_022;Metal processing;Metal processing - Bending Tubes & pipes;Haesevoets;Industrieweg 1041;B-3540 Herk-de-Stad;BE 0439 530 457;Philippe Deborre;+32 13 55 24 53;sales@haesevoets.com;;;;www.haesevoets.com;;info@haesevoets.com;Fietsbeugels;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_023;Transport;Transport - other;Heli;Vantegemstraat 9;B-9230 Wetteren;BE 0894 161 341;Marcel Seijkens;+32 471 73 45 15;marcel.seijkens@heli.be;;;;www.heli.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_024;Furniture;Furniture - other;Hess;Lantwattenstrasse 22;D-78050 Villingen-Schwenningen;BE 0460 973 296;Manuela Weisser;+49 772 19 201 75;manuela.weisser@hess.eu;;;;www.Hess.eu;;;Ook Georg Sieverding +49 151 15 81 542 Georg.sieverding@hess.eu;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_025;Glass;Glass - Panels & other;HG Glas;Toekomstlaan 38-40;B-2200 Herentals;BE 10426 720 123;Bruno Philips;+32 479 25 77 80;sales@hg-glas.be;;;;www.hg-glas.be;+32 14 25 77 80;info@hg-glas.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_026;Steeldeck;Steeldeck;HMG;;;;;+32 3 605 18 28;;;;;www.hmg-benelux-shop.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_027;Metal processing;Metal processing - Bending Sheetmetal;Holvoet;Ringlaan 21;B-8501 Kortrijk-Heule;BE 0405 980 533;Braam Delrue;+32 56 36 28 32;braam.delarue@holvoet.be;;;;www.holvoet.be;+32 56 35 43 50;info@holvoet.be;Fietsbeugels;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_028;Wood;Wood - planks & beams;Hout Vandenheurck;Beemdenstraat 5;B-2520 Ranst;BE 0413 832 484;Els;;;;;;www.houtvandenheurck.be;;info@houtvandenheurck.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_029;Transport;Transport - Material;HWT Transport;Voltweg 13;NL-4631 SR Hoogerheide;NL 8570 43 432 B01;Aad Nagelkerken;+31 6 53 27 43 66;planning@hwttransport.be;;;;;;info@hwttransport.be;Transport van materiaal boven de 7m;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_030;Plastic processing;Plastic processing - CNC turning & milling;Imatex;Sluizenstraat 83;B-2900 Schoten;BE 0413 118 248;Vincent Bogaert;+32 3 658 39 44;v.bogaert@imatex.be;;;;www.imatex-plastics.be;;Info@imatex.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_031;Plastic processing;Plastic processing - CNC turning & milling;Inno-plast nv;Zwaarveld 65;B-9220 Hamme;BE 0437 768 522;;+32 52 47 76 24;info@innoplast.be;;;;www.innoplast.be;;info@innoplast.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_032;Steeldeck;Steeldeck;Joriside;Hille 174;B-8750 Zwevezele;BE 0450 452 063;Nathan Demeyer;+32 473 91 13 52;Nathan.Demeyer@joriside.be;;;;www.joriside.be;;;Steeldeck - Standaard 32-250-1000;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_033;Metal processing;Metal processing - Bending Tubes & pipes;Kersten Europe;Piet van Elsstraat 7;NL-5861 AW Wanssum;NL 0021 68 005 B01;Theo Theunissen;+31 478  53 71 11;ththeunissen@kersteneurope.com;Bram Top;;btop@kersteneurope.com;www.kerstengroup.com;;;Togen buizen (Tecno etc.);;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_034;Steel;Steel - Blank steel;Kloeckner nv;Straatsburgdok Noordkaai 33;B-2030 Antwerpen;BE 0405 319 547;Marie-Reine Raepsaet;+32 56 26 80 50;marie-reine.raepsaet@kloeckner.com;;;;www.kloeckner.be;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUPP_035;Surface treatment;Surface treatment - Coating;Kolo nv;Kwade Weide 18;B-2920 Kalmthout;BE 0451 990 108;Jef Van Geel;+32 3 666 14 15;Kolo@kolo.be;;;;www.kolo.be;;kolo@kolo.be;;;;;;;;;;;;;;;;;;;;;;;;;;;
